t,raw
37440.0,-0.41680676
37441.0,-0.37731478
37442.0,-0.33231488
37443.0,-0.3963841
37444.0,-0.24420811
37445.0,-0.59517306
37446.0,-0.64509946
37447.0,-0.57999206
37448.0,-0.49090788
37449.0,-0.41431847
37450.0,-0.31980515
37451.0,-0.2913085
37452.0,-0.45388964
37453.0,-0.66020477
37454.0,-0.40462732
37455.0,-0.28227338
37456.0,0.048723053
37457.0,0.055049185
37458.0,0.24282387
37459.0,0.1869233
37460.0,0.22058532
37461.0,0.41297382
37462.0,0.8157298
37463.0,0.7313161
37464.0,0.67998856
37465.0,0.6898204
37466.0,1.0922678
37467.0,0.9602405
37468.0,0.6176297
37469.0,0.6640815
37470.0,0.801187
37471.0,0.6779569
37472.0,0.674861
37473.0,0.7841044
37474.0,0.995705
37475.0,0.9135536
37476.0,1.1590815
37477.0,1.7687193
37478.0,2.075161
37479.0,1.8710189
37480.0,2.1565175
37481.0,2.122379
37482.0,2.1376865
37483.0,1.7737039
37484.0,1.7337153
37485.0,1.7632592
37486.0,1.717592
37487.0,1.6677613
37488.0,1.6773096
37489.0,1.7441427
37490.0,1.7834121
37491.0,1.5849261
37492.0,1.471525
37493.0,1.3752686
37494.0,1.1971955
37495.0,1.1918823
37496.0,0.89814556
37497.0,0.6474791
37498.0,0.55077004
37499.0,0.5176637
37500.0,0.29320773
37501.0,0.00411309
37502.0,-0.0934318
37503.0,-0.057987604
37504.0,-0.0016399884
37505.0,0.33363748
37506.0,0.18010564
37507.0,0.019700814
37508.0,-0.1594651
37509.0,0.1301006
37510.0,-0.26071003
37511.0,-0.30291143
37512.0,-0.33161914
37513.0,-0.07463357
37514.0,-0.10544532
37515.0,-0.14812268
37516.0,-0.029815758
37517.0,0.07566889
37518.0,0.077497296
37519.0,-0.29107618
37520.0,-0.352049
37521.0,-0.3192867
37522.0,-0.5166601
37523.0,-0.71655023
37524.0,-0.8310573
37525.0,-0.73073107
37526.0,-0.81854206
37527.0,-0.9512396
37528.0,-0.96662724
37529.0,-0.74055994
37530.0,-0.77277124
37531.0,-0.8584445
37532.0,-0.49565375
37533.0,-0.38892153
37534.0,-0.24493957
37535.0,-0.41325095
37536.0,-0.46729586
37537.0,-0.36136788
37538.0,-0.50004905
37539.0,-0.38773602
37540.0,-0.28947428
37541.0,-0.429823
37542.0,-0.24160211
37543.0,-0.23860155
37544.0,-0.07945779
37545.0,-0.47028548
37546.0,-0.27884325
37547.0,-0.20421098
37548.0,-0.047714118
37549.0,0.13602617
37550.0,0.12603146
37551.0,-0.017559698
37552.0,-0.015934395
37553.0,-0.22904009
37554.0,0.15122892
37555.0,-0.046411876
37556.0,0.040000003
37557.0,-0.07033681
37558.0,0.0337128
37559.0,0.07578125
37560.0,-0.39662662
37561.0,-0.42794803
37562.0,-0.50462914
37563.0,-0.54050386
37564.0,-0.88218963
37565.0,-1.3310771
37566.0,-0.9739843
37567.0,-1.1773862
37568.0,-0.9233894
37569.0,-0.59051025
37570.0,-0.59705526
37571.0,-0.4746727
37572.0,-0.4452042
37573.0,-0.30378202
37574.0,-0.51154214
37575.0,-0.51308376
37576.0,-0.3431094
37577.0,-0.35885304
37578.0,-0.1261828
37579.0,0.44978145
37580.0,0.49246374
37581.0,0.49534142
37582.0,0.48833996
37583.0,0.67349416
37584.0,0.7290545
37585.0,0.7277568
37586.0,0.7350088
37587.0,0.6972588
37588.0,0.92541796
37589.0,1.098507
37590.0,1.079826
37591.0,1.3997169
37592.0,1.5062623
37593.0,1.8649467
37594.0,1.7221365
37595.0,1.8423694
37596.0,1.822509
37597.0,2.0358336
37598.0,2.0009139
37599.0,2.118458
37600.0,2.1107166
37601.0,1.9368913
37602.0,2.286431
37603.0,2.5322204
37604.0,2.476423
37605.0,2.1642065
37606.0,2.461762
37607.0,2.664668
37608.0,2.6920276
37609.0,2.7956882
37610.0,2.9191475
37611.0,3.238857
37612.0,3.3201327
37613.0,3.0486503
37614.0,2.6157095
37615.0,2.0654168
37616.0,1.2556807
37617.0,0.07732068
37618.0,-0.48788682
37619.0,-1.6270735
37620.0,-2.3363593
37621.0,-2.9178355
37622.0,-3.1595283
37623.0,-2.9778733
37624.0,-2.6434338
37625.0,-2.5531833
37626.0,-2.380863
37627.0,-2.1293035
37628.0,-2.0440161
37629.0,-2.155885
37630.0,-2.1658657
37631.0,-1.9690555
37632.0,-1.7272265
37633.0,-2.031598
37634.0,-2.016883
37635.0,-1.9977286
37636.0,-1.7907364
37637.0,-1.6247334
37638.0,-1.4281799
37639.0,-1.0362456
37640.0,-0.8755508
37641.0,-0.71888053
37642.0,-0.880362
37643.0,-0.96495897
37644.0,-0.735294
37645.0,-0.59311956
37646.0,-0.5190537
37647.0,-0.9028193
37648.0,-1.0100174
37649.0,-1.0685365
37650.0,-0.6543133
37651.0,-0.298435
37652.0,-0.40326518
37653.0,-0.18659428
37654.0,0.18120913
37655.0,0.22371276
37656.0,0.56366706
37657.0,0.48304188
37658.0,0.5240133
37659.0,0.68134946
37660.0,0.72394097
37661.0,0.7175728
37662.0,0.42139614
37663.0,0.3751147
37664.0,0.31770408
37665.0,0.11584292
37666.0,0.26484144
37667.0,-0.025515359
37668.0,0.31046215
37669.0,0.49567655
37670.0,0.52343225
37671.0,0.6253768
37672.0,0.6295032
37673.0,0.5490136
37674.0,0.42344242
37675.0,0.46967843
37676.0,0.4319961
37677.0,0.06689352
37678.0,0.3166706
37679.0,0.521309
37680.0,0.2993392
37681.0,0.4372909
37682.0,0.39172253
37683.0,0.06994173
37684.0,0.008995327
37685.0,0.39124203
37686.0,0.7088834
37687.0,0.7154483
37688.0,0.37914413
37689.0,0.43512306
37690.0,0.7737448
37691.0,0.76289105
37692.0,0.63474876
37693.0,0.29721716
37694.0,0.3257974
37695.0,0.20043682
37696.0,0.31730723
37697.0,0.2630436
37698.0,0.58894974
37699.0,0.30631998
37700.0,0.33453432
